dc:identifier,dc:modified,ayto:type,ayto:latitude,ayto:longitude,ayto:status,uri
3602,2021-04-24T06:40:19Z,parking,43.463043213,-3.798958063,1,http://datos.santander.es/api/datos/sensores_smart_parking/3602.csv
3674,2021-04-23T08:23:59Z,parking,43.463363647,-3.799287319,1,http://datos.santander.es/api/datos/sensores_smart_parking/3674.csv
3701,2021-03-22T17:58:42Z,parking,43.46282959,-3.800781488,1,http://datos.santander.es/api/datos/sensores_smart_parking/3701.csv
3661,2021-03-15T11:39:50Z,parking,43.462902069,-3.800448895,1,http://datos.santander.es/api/datos/sensores_smart_parking/3661.csv
3759,2021-03-14T17:58:08Z,parking,43.463363647,-3.798370123,1,http://datos.santander.es/api/datos/sensores_smart_parking/3759.csv
3678,2021-02-25T16:31:34Z,parking,43.46339035,-3.799036503,0,http://datos.santander.es/api/datos/sensores_smart_parking/3678.csv
3604,2021-02-18T10:54:07Z,parking,43.463050842,-3.798828602,0,http://datos.santander.es/api/datos/sensores_smart_parking/3604.csv
3696,2021-02-11T15:04:59Z,parking,43.463550568,-3.797435284,1,http://datos.santander.es/api/datos/sensores_smart_parking/3696.csv
3687,2021-02-11T08:58:43Z,parking,43.463493347,-3.797996521,1,http://datos.santander.es/api/datos/sensores_smart_parking/3687.csv
3735,2021-01-25T05:12:20Z,parking,43.462654114,-3.798728704,1,http://datos.santander.es/api/datos/sensores_smart_parking/3735.csv
3695,2021-01-25T04:08:26Z,parking,43.463558197,-3.797307968,0,http://datos.santander.es/api/datos/sensores_smart_parking/3695.csv
3876,2021-01-24T21:07:46Z,parking,43.464450836,-3.798915386,1,http://datos.santander.es/api/datos/sensores_smart_parking/3876.csv
3729,2021-01-24T19:38:31Z,parking,43.462593079,-3.79930687,1,http://datos.santander.es/api/datos/sensores_smart_parking/3729.csv
3816,2021-01-24T19:23:21Z,parking,43.463531494,-3.799738646,0,http://datos.santander.es/api/datos/sensores_smart_parking/3816.csv
3733,2021-01-23T10:06:25Z,parking,43.462631226,-3.798921585,1,http://datos.santander.es/api/datos/sensores_smart_parking/3733.csv
3726,2021-01-22T13:28:25Z,parking,43.462554932,-3.799658298,1,http://datos.santander.es/api/datos/sensores_smart_parking/3726.csv
3728,2021-01-22T12:30:21Z,parking,43.462585449,-3.799403191,1,http://datos.santander.es/api/datos/sensores_smart_parking/3728.csv
3725,2021-01-22T12:30:17Z,parking,43.462547302,-3.799733639,1,http://datos.santander.es/api/datos/sensores_smart_parking/3725.csv
