FID,featureid,sensorid,phenomenon_time,battery_voltage,humidity,temperature,no_we,no_aux,no2_we,no2_aux,ox_we,ox_aux,co_aux,co_we,no_concentration,no2_concentration,ox_concentration,co_concentration
historic_air_quality_sensor_raw_observations_2019_11.fid--6ccc9236_1791e6de804_-756f,83,4022,2019-11-27T23:50:00.149,5.166,59.2923584,13.95057861,299.83520508,2.28881836,211.39526367,-15.01464844,222.01538086,-0.82397461,56.30493164,394.59228516,-26.06688525,40.21930055,15.35303452,64.31523629
historic_air_quality_sensor_raw_observations_2019_11.fid--6ccc9236_1791e6de804_-756e,83,4022,2019-11-28T00:00:06.084,5.164,59.86265564,13.75752686,300.47607422,1.73950195,211.30371094,-15.19775391,221.83227539,-0.73242188,56.12182617,394.22607422,-27.11121302,39.60485266,15.68962546,63.86754565
historic_air_quality_sensor_raw_observations_2019_11.fid--6ccc9236_1791e6de804_-756d,83,4022,2019-11-28T00:10:05.927,5.163,60.24031067,13.61273804,300.01831055,2.01416016,211.2121582,-15.38085938,222.01538086,-0.82397461,56.67114258,394.31762695,-26.58904913,38.99040478,15.35303452,65.21061755
historic_air_quality_sensor_raw_observations_2019_11.fid--6ccc9236_1791e6de804_-756c,74,4023,2019-11-27T23:36:26.03,5.254,59.62042236,14.11681763,296.08154297,-6.86645508,236.20605469,18.21899414,241.60766602,11.26098633,57.40356445,385.34545898,-12.13154607,25.329804,14.79509142,84.8153389
historic_air_quality_sensor_raw_observations_2019_11.fid--6ccc9236_1791e6de804_-756b,74,4023,2019-11-27T23:46:19.522,5.254,59.78636169,13.993479,295.34912109,-6.59179688,236.02294922,17.94433594,241.51611328,11.26098633,54.93164062,382.87353516,-11.64628423,24.36609101,14.79509142,79.21006944
historic_air_quality_sensor_raw_observations_2019_11.fid--6ccc9236_1791e6de804_-756a,74,4023,2019-11-27T23:56:20.475,5.253,60.71524048,13.87550293,295.8984375,-6.40869141,236.11450195,18.12744141,241.60766602,11.16943359,59.78393555,387.26806641,-11.32277634,25.00856634,14.47719998,90.21300578
historic_air_quality_sensor_raw_observations_2019_11.fid--6ccc9236_1791e6de804_-7569,74,4023,2019-11-28T00:06:26.442,5.252,61.19589233,13.81651489,296.08154297,-6.40869141,236.66381836,17.94433594,242.06542969,11.62719727,54.65698242,382.04956055,-11.32277634,24.36609101,16.06665717,78.58726173
historic_air_quality_sensor_raw_observations_2019_11.fid--6ccc9236_1791e6de804_-7568,74,4023,2019-11-28T00:16:22.626,5.253,61.23403931,13.83260254,295.6237793,-6.31713867,236.20605469,17.66967773,242.43164062,11.71875,54.10766602,381.50024414,-11.16102239,23.40237802,16.38454861,77.34164629
historic_air_quality_sensor_raw_observations_2019_11.fid--6ccc9236_1791e6de804_-7567,,4024,2019-11-27T23:35:07.65,5.112,53.88883972,22.33760498,345.9777832,49.98779297,219.08569336,-10.62011719,231.07910156,3.38745117,521.2097168,791.47338867,47.33659921,8.23488862,35.84380843,1078.33624589
historic_air_quality_sensor_raw_observations_2019_11.fid--6ccc9236_1791e6de804_-7566,88,4025,2019-11-27T23:05:26.715,5.249,56.11662292,15.29121582,296.81396484,2.47192383,221.92382812,-1.19018555,235.74829102,14.83154297,70.40405273,401.3671875,-7.93008086,39.23526396,21.48283952,100.85968667
historic_air_quality_sensor_raw_observations_2019_11.fid--6ccc9236_1791e6de804_-7565,88,4025,2019-11-27T23:25:20.667,5.247,55.80953979,15.04990112,296.08154297,2.28881836,220.45898438,-2.56347656,235.47363281,14.73999023,66.92504883,396.97265625,-8.25075594,34.67283534,21.19493784,93.4575507
historic_air_quality_sensor_raw_observations_2019_11.fid--6ccc9236_1791e6de804_-7564,88,4025,2019-11-27T23:45:20.544,5.246,57.02452087,14.82467407,295.6237793,2.19726562,221.55761719,-1.83105469,234.19189453,13.54980469,63.53759766,393.31054688,-8.41109348,37.10613061,17.452216,86.25020778
historic_air_quality_sensor_raw_observations_2019_11.fid--6ccc9236_1791e6de804_-7563,88,4025,2019-11-27T23:55:25.964,5.247,57.08174133,14.71206055,295.6237793,2.47192383,220.64208984,-2.6550293,234.92431641,14.28222656,62.98828125,391.20483398,-7.93008086,34.36867343,19.75542944,85.08144947
historic_air_quality_sensor_raw_observations_2019_11.fid--6ccc9236_1791e6de804_-7562,88,4025,2019-11-28T00:15:23.305,5.246,57.93432617,14.60749084,296.08154297,2.56347656,220.82519531,-2.83813477,234.55810547,13.64135742,60.97412109,390.83862305,-7.76974332,33.76034962,17.74011768,80.79600233
historic_air_quality_sensor_raw_observations_2019_11.fid--6ccc9236_1791e6de804_-7561,88,4026,2019-11-27T23:49:18.145,5.047,57.66729736,14.64770996,299.56054688,6.22558594,240.14282227,14.9230957,235.10742188,13.27514648,67.01660156,403.10668945,-34.31354066,13.16475068,34.02366386,91.80376838
historic_air_quality_sensor_raw_observations_2019_11.fid--6ccc9236_1791e6de804_-7560,88,4019,2019-11-28T01:12:32.251,5.246,58.98336792,14.59408447,302.49023438,6.95800781,227.14233398,4.76074219,246.91772461,8.60595703,28.01513672,371.15478516,-14.54248135,34.49025508,5.88262649,83.95136764
historic_air_quality_sensor_raw_observations_2019_11.fid--6ccc9236_1791e6de804_-755f,88,4019,2019-11-28T01:02:32.16,5.248,58.75448608,14.59408447,302.67333984,7.59887695,227.23388672,4.76074219,248.01635742,9.79614258,24.71923828,367.67578125,-13.38358598,34.49025508,10.24228051,76.2686207
historic_air_quality_sensor_raw_observations_2019_11.fid--6ccc9236_1791e6de804_-755e,88,4019,2019-11-28T00:52:31.732,5.248,58.58473206,14.60480957,303.58886719,8.23974609,227.23388672,4.94384766,247.10083008,8.88061523,32.86743164,376.00708008,-12.22469061,35.13727087,6.88870049,95.26207842
historic_air_quality_sensor_raw_observations_2019_11.fid--6ccc9236_1791e6de804_-755d,88,4019,2019-11-28T00:42:33.915,5.246,58.42070007,14.64234741,303.49731445,8.33129883,227.05078125,4.76074219,247.46704102,8.88061523,23.4375,368.31665039,-12.05913413,34.49025508,6.88870049,73.28088578
historic_air_quality_sensor_raw_observations_2019_11.fid--6ccc9236_1791e6de804_-755c,88,4019,2019-11-28T00:32:32.874,5.246,58.31388855,14.62089722,302.0324707,6.22558594,227.50854492,5.12695312,247.74169922,9.52148438,23.89526367,367.76733398,-15.86693321,35.78428666,9.2362065,74.34793397
