FID,featureid,sensorid,phenomenon_time,battery_voltage,humidity,temperature,no_we,no_aux,no2_we,no2_aux,ox_we,ox_aux,co_aux,co_we,no_concentration,no2_concentration,ox_concentration,co_concentration
historic_air_quality_sensor_raw_observations_2019_07.fid--6ccc9236_1791e6ea251_-7433,83,4019,2019-07-30T02:35:07.362,6.072,59.1512146,20,327.20947266,25.72631836,224.85351562,3.38745117,244.35424805,6.31713867,36.16333008,384.15527344,19.39659739,29.63763665,-2.50132355,102.94482536
historic_air_quality_sensor_raw_observations_2019_07.fid--6ccc9236_1791e6ea251_-7432,83,4019,2019-07-30T02:25:10.865,6.073,59.3553009,20,326.47705078,25.08544922,224.85351562,3.29589844,244.99511719,7.04956055,34.42382812,382.96508789,18.23770202,29.31412875,0.18154046,98.89004225
historic_air_quality_sensor_raw_observations_2019_07.fid--6ccc9236_1791e6ea251_-7431,83,4019,2019-07-30T03:55:10.56,6.07,59.40679932,19,318.14575195,17.48657227,225.12817383,3.47900391,248.01635742,9.42993164,29.47998047,379.57763672,4.49651404,29.96114455,8.9008485,87.36592184
historic_air_quality_sensor_raw_observations_2019_07.fid--6ccc9236_1791e6ea251_-7430,83,4019,2019-07-30T03:45:06.529,6.071,59.2885437,19,322.63183594,20.69091797,225.12817383,3.2043457,247.00927734,9.24682617,30.67016602,379.85229492,10.2909909,28.99062086,8.2301325,90.14024712
historic_air_quality_sensor_raw_observations_2019_07.fid--6ccc9236_1791e6ea251_-742f,83,4019,2019-07-30T03:35:06.534,6.069,59.67001343,19,323.27270508,21.14868164,225.40283203,3.84521484,246.00219727,8.14819336,30.67016602,380.03540039,11.11877331,31.25517613,4.20583648,90.14024712
historic_air_quality_sensor_raw_observations_2019_07.fid--6ccc9236_1791e6ea251_-742e,83,4019,2019-07-30T03:25:06.551,6.071,59.04440308,19,323.36425781,21.33178711,224.57885742,2.28881836,245.8190918,7.14111328,30.48706055,380.21850586,11.44988627,25.75554191,0.51689847,89.71342785
historic_air_quality_sensor_raw_observations_2019_07.fid--6ccc9236_1791e6ea251_-742d,83,4019,2019-07-30T03:15:12.299,6.069,58.92996216,20,320.43457031,18.40209961,226.77612305,5.12695312,246.73461914,8.14819336,30.94482422,381.31713867,6.15207886,35.78428666,4.20583648,90.78047603
historic_air_quality_sensor_raw_observations_2019_07.fid--6ccc9236_1791e6ea251_-742c,83,4020,2019-07-30T03:07:38.277,5.991,57.96102905,19,334.71679688,10.62011719,228.14941406,-0.45776367,229.06494141,-7.69042969,37.07885742,379.11987305,9.05905331,55.69776541,14.96378581,101.07367135
historic_air_quality_sensor_raw_observations_2019_07.fid--6ccc9236_1791e6ea251_-742b,83,4020,2019-07-30T02:57:34.675,5.99,58.40162659,20,332.70263672,8.5144043,229.15649414,0.2746582,228.2409668,-9.61303711,36.25488281,378.38745117,4.9302045,58.16383233,8.28806559,99.22619465
historic_air_quality_sensor_raw_observations_2019_07.fid--6ccc9236_1791e6ea251_-742a,83,4020,2019-07-30T02:47:38.876,5.992,60.07818604,20,338.19580078,14.28222656,227.60009766,-1.92260742,228.05786133,-9.70458984,38.3605957,378.93676758,16.23965993,50.76563158,7.97017415,103.947524
