FID,groupname,description,enable,group_parent_id,type,pt,subtype,layer
inventory_groups.613,TEMPERATURA,,1,612,CON,,0,null
inventory_groups.615,AR-GEN,,1,569,LOG,,1,null
inventory_groups.616,POTENCIA_ACTIVA,,1,615,COS,,0,null
inventory_groups.617,FACTOR_POTENCIA,,1,615,COS,,0,null
inventory_groups.618,ENERGIA_REACTIVA,,1,615,COS,,0,null
inventory_groups.619,ARMONICOS_TENSION,,1,615,COS,,0,null
inventory_groups.620,ARMONICOS_INTENSIDAD,,1,615,COS,,0,null
inventory_groups.621,AR4-UD-CLIM,,1,569,LOG,,1,null
inventory_groups.622,POTENCIA_ACTIVA,,1,621,COS,,0,null
inventory_groups.623,FACTOR_POTENCIA,,1,621,COS,,0,null
inventory_groups.624,ENERGIA_REACTIVA,,1,621,COS,,0,null
inventory_groups.625,ARMONICOS_TENSION,,1,621,COS,,0,null
inventory_groups.626,ARMONICOS_INTENSIDAD,,1,621,COS,,0,null
inventory_groups.600,TH1-RECEP,,1,664,LOG,,6,null
inventory_groups.609,TH2-ESC,,1,666,LOG,,6,null
inventory_groups.612,TH3-PPRIM,,1,665,LOG,,6,null
inventory_groups.254,Temperatura y Humedad,,1,158,LOG,POINT (-5.786325093231278 38.97373649538613),6,null
inventory_groups.261,HUMEDAD,,1,254,CON,,0,null
inventory_groups.255,TEMPERATURA,,1,254,CON,,0,null
inventory_groups.264,POTENCIA_ACTIVA,,1,263,COS,,0,null
inventory_groups.263,Analizador Hidromasaje,,1,2,LOG,,1,null
inventory_groups.265,FACTOR_POTENCIA,,1,263,COS,,0,null
inventory_groups.268,ARMONICOS_INTENSIDAD,,1,263,COS,,0,null
inventory_groups.267,ARMONICOS_TENSION,,1,263,COS,,0,null
inventory_groups.266,ENERGIA_REACTIVA,,1,263,COS,,0,null
inventory_groups.271,POTENCIA_ACTIVA,,1,270,COS,,0,null
inventory_groups.270,Analizador Terma,,1,2,LOG,,1,null
inventory_groups.273,ENERGIA_REACTIVA,,1,270,COS,,0,null
inventory_groups.272,FACTOR_POTENCIA,,1,270,COS,,0,null
inventory_groups.275,ARMONICOS_INTENSIDAD,,1,270,COS,,0,null
inventory_groups.274,ARMONICOS_TENSION,,1,270,COS,,0,null
inventory_groups.276,Analizador Extractores,,1,2,LOG,,1,null
inventory_groups.277,POTENCIA_ACTIVA,,1,276,COS,,0,null
inventory_groups.279,ENERGIA_REACTIVA,,1,276,COS,,0,null
