Codigo;Decibelios medidos;Fecha/Hora medicion
BI-RUI-001;56.733;2023-11-09 02:15:34.073
BI-RUI-C002;76.742;2023-11-09 02:15:45.387
BI-RUI-020;47.20;2023-11-09 02:16:32.283
BI-RUI-C008;50.822;2023-11-09 02:16:32.847
BI-RUI-010;58.998;2023-11-09 02:17:10.663
BI-RUI-BR8;50.80;2023-11-09 02:17:15.493
BI-RUI-C005;53.20;2023-11-09 02:17:19.82
BI-RUI-BR6;51.40;2023-11-09 02:17:41.043
BI-RUI-P011;60.0;2023-11-09 02:17:53.467
BI-RUI-BR2;54.289;2023-11-09 02:18:23.957
BI-RUI-C003;48.606;2023-11-09 02:18:30.41
BI-RUI-011;55.666;2023-11-09 02:20:30.363
BI-RUI-P009;63.6;2023-11-09 02:20:52.693
BI-RUI-BR5;62.357;2023-11-09 02:21:15.697
BI-RUI-008;49.950;2023-11-09 02:21:32.793
BI-RUI-P008;56.0;2023-11-09 02:21:36.433
BI-RUI-P012;69.0;2023-11-09 02:22:46.88
BI-RUI-022;63.760;2023-11-09 02:23:32.577
BI-RUI-021;51.90;2023-11-09 02:25:43.0
BI-RUI-BR7;49.605;2023-11-09 02:26:43.51
BI-RUI-023;65.460;2023-11-09 02:27:14.45
BI-RUI-C010;48.467;2023-11-09 02:27:18.34
BI-RUI-P014;53.2;2023-11-09 02:27:49.19
BI-RUI-P013;54.1;2023-11-09 02:28:13.003
BI-RUI-P010;58.9;2023-11-09 02:29:10.403
BI-RUI-015;58.339;2023-11-09 02:29:59.033
BI-RUI-004;53.682;2023-11-09 02:30:09.46
BI-RUI-006;61.668;2023-11-09 02:30:11.35
BI-RUI-P005;60.7;2023-11-09 02:30:12.13
BI-RUI-009;52.131;2023-11-09 02:30:21.257
BI-RUI-019;60.774;2023-11-09 02:30:31.243
BI-RUI-C002;52.510;2023-11-09 02:30:50.057
BI-RUI-001;57.124;2023-11-09 02:30:52.807
BI-RUI-C008;47.607;2023-11-09 02:31:35.3
BI-RUI-020;53.00;2023-11-09 02:31:48.19
BI-RUI-010;58.715;2023-11-09 02:32:10.74
BI-RUI-BR8;47.10;2023-11-09 02:32:32.523
BI-RUI-C005;47.80;2023-11-09 02:32:37.197
BI-RUI-P011;53.9;2023-11-09 02:32:54.933
BI-RUI-BR6;43.10;2023-11-09 02:32:57.043
BI-RUI-BR2;49.742;2023-11-09 02:33:21.907
BI-RUI-C003;42.499;2023-11-09 02:33:30.58
BI-RUI-011;56.235;2023-11-09 02:35:34.22
BI-RUI-P009;63.5;2023-11-09 02:35:53.74
BI-RUI-BR5;58.484;2023-11-09 02:36:17.307
BI-RUI-008;53.176;2023-11-09 02:36:26.01
BI-RUI-P008;61.5;2023-11-09 02:36:36.543
BI-RUI-C009;36.483;2023-11-09 02:36:46.077
BI-RUI-P006;63.7;2023-11-09 02:37:06.67
BI-RUI-P012;63.0;2023-11-09 02:37:46.863
BI-RUI-022;48.692;2023-11-09 02:38:36.433
BI-RUI-021;40.90;2023-11-09 02:40:58.923
BI-RUI-BR7;49.743;2023-11-09 02:41:46.117
BI-RUI-023;49.272;2023-11-09 02:42:14.713
BI-RUI-C010;45.241;2023-11-09 02:42:19.543
BI-RUI-P014;55.4;2023-11-09 02:42:49.203
BI-RUI-P002;56.2;2023-11-09 02:43:01.033
BI-RUI-P013;58.0;2023-11-09 02:43:13.16
BI-RUI-P010;55.4;2023-11-09 02:44:10.777
BI-RUI-015;58.071;2023-11-09 02:44:59.19
BI-RUI-C009;37.073;2023-11-09 02:45:04.19
BI-RUI-P005;55.6;2023-11-09 02:45:12.207
BI-RUI-009;50.691;2023-11-09 02:45:15.787
BI-RUI-004;54.316;2023-11-09 02:45:27.57
BI-RUI-006;61.339;2023-11-09 02:45:31.32
BI-RUI-019;56.578;2023-11-09 02:45:31.85
BI-RUI-001;56.354;2023-11-09 02:45:41.163
BI-RUI-C002;51.470;2023-11-09 02:45:50.12
BI-RUI-C008;55.491;2023-11-09 02:46:34.56
BI-RUI-020;58.40;2023-11-09 02:46:54.033
BI-RUI-010;59.082;2023-11-09 02:47:10.69
BI-RUI-BR8;47.10;2023-11-09 02:47:58.137
BI-RUI-BR6;42.20;2023-11-09 02:48:13.187
BI-RUI-C005;43.50;2023-11-09 02:48:14.61
BI-RUI-BR2;49.102;2023-11-09 02:48:18.597
BI-RUI-C003;49.557;2023-11-09 02:48:30.59
BI-RUI-011;54.006;2023-11-09 02:50:26.77
BI-RUI-P009;63.7;2023-11-09 02:50:53.443
BI-RUI-008;45.577;2023-11-09 02:51:26.39
BI-RUI-BR5;57.486;2023-11-09 02:51:32.753
BI-RUI-P008;52.7;2023-11-09 02:51:36.757
BI-RUI-P006;64.5;2023-11-09 02:52:06.92
BI-RUI-P012;61.4;2023-11-09 02:52:47.62
BI-RUI-022;53.973;2023-11-09 02:53:50.57
BI-RUI-021;56.40;2023-11-09 02:56:15.073
BI-RUI-BR7;49.905;2023-11-09 02:56:43.93
BI-RUI-023;48.833;2023-11-09 02:57:12.767
BI-RUI-C010;46.757;2023-11-09 02:57:28.07
BI-RUI-P014;59.1;2023-11-09 02:57:49.56
BI-RUI-P002;53.0;2023-11-09 02:58:01.533
BI-RUI-P013;53.6;2023-11-09 02:58:13.57
BI-RUI-P010;53.9;2023-11-09 02:59:11.16
BI-RUI-015;57.867;2023-11-09 03:00:03.293
BI-RUI-004;54.641;2023-11-09 03:00:04.467
BI-RUI-019;56.750;2023-11-09 03:00:20.377
BI-RUI-006;61.794;2023-11-09 03:00:21.877
BI-RUI-009;51.672;2023-11-09 03:00:22.61
BI-RUI-C002;48.668;2023-11-09 03:00:42.77
BI-RUI-001;56.118;2023-11-09 03:00:50.947
BI-RUI-C008;50.526;2023-11-09 03:01:35.893
BI-RUI-020;51.40;2023-11-09 03:02:10.057
BI-RUI-010;58.412;2023-11-09 03:02:21.073
BI-RUI-P011;51.3;2023-11-09 03:02:55.19
BI-RUI-BR2;54.659;2023-11-09 03:03:17.697
BI-RUI-BR8;46.80;2023-11-09 03:03:24.167
BI-RUI-C003;44.535;2023-11-09 03:03:31.103
BI-RUI-BR6;41.10;2023-11-09 03:03:38.84
BI-RUI-C005;42.00;2023-11-09 03:03:41.573
BI-RUI-011;55.840;2023-11-09 03:05:27.497
BI-RUI-P009;56.8;2023-11-09 03:05:53.813
BI-RUI-BR5;57.218;2023-11-09 03:06:19.117
BI-RUI-008;42.956;2023-11-09 03:06:24.007
BI-RUI-P008;56.6;2023-11-09 03:06:37.103
BI-RUI-P006;57.3;2023-11-09 03:07:07.483
BI-RUI-P012;61.4;2023-11-09 03:07:48.317
BI-RUI-022;49.366;2023-11-09 03:08:35.7
BI-RUI-021;73.70;2023-11-09 03:11:30.49
BI-RUI-BR7;47.689;2023-11-09 03:11:38.087
BI-RUI-023;61.008;2023-11-09 03:12:22.093
BI-RUI-C010;60.235;2023-11-09 03:12:26.17
BI-RUI-P014;58.5;2023-11-09 03:12:49.77
BI-RUI-P002;53.5;2023-11-09 03:13:01.693
BI-RUI-P010;59.4;2023-11-09 03:14:11.437
BI-RUI-015;57.738;2023-11-09 03:14:49.24
BI-RUI-004;54.207;2023-11-09 03:15:10.883
BI-RUI-006;61.299;2023-11-09 03:15:10.93
BI-RUI-P005;60.4;2023-11-09 03:15:13.15
BI-RUI-009;43.764;2023-11-09 03:15:22.07
BI-RUI-019;57.695;2023-11-09 03:15:23.587
BI-RUI-C002;73.559;2023-11-09 03:15:40.887
BI-RUI-001;54.353;2023-11-09 03:15:46.12
BI-RUI-C008;52.705;2023-11-09 03:16:46.05
BI-RUI-020;53.30;2023-11-09 03:17:25.62
BI-RUI-010;58.199;2023-11-09 03:17:26.01
BI-RUI-P011;55.3;2023-11-09 03:17:55.577
BI-RUI-BR2;60.445;2023-11-09 03:18:14.877
BI-RUI-C003;44.919;2023-11-09 03:18:31.16
BI-RUI-BR8;46.50;2023-11-09 03:18:49.49
BI-RUI-BR6;41.70;2023-11-09 03:18:55.037
BI-RUI-C005;48.50;2023-11-09 03:19:01.29
BI-RUI-011;55.941;2023-11-09 03:20:34.193
BI-RUI-P009;65.0;2023-11-09 03:20:54.21
BI-RUI-BR5;55.139;2023-11-09 03:21:17.84
