id;recvtime;fiwareservicepath;entitytype;entityid;laeq;laeq_d;laeq_den;laeq_e;laeq_n;dateobserved
225;2021-05-27T00:00:18+00:00;/sonometros;NoiseLevelObserved;T248671-daily;61.0;62.5;63.7;61.7;54.3;2021-05-26
227;2021-05-29T00:00:21+00:00;/sonometros;NoiseLevelObserved;T248671-daily;64.0;65.1;67.0;67.3;57.2;2021-05-28
229;2021-05-31T00:00:28+00:00;/sonometros;NoiseLevelObserved;T248671-daily;59.3;59.6;64.5;61.8;57.5;2021-05-30
233;2021-06-04T00:00:38+00:00;/sonometros;NoiseLevelObserved;T248671-daily;61.5;63.1;64.1;61.5;54.7;2021-06-03
235;2021-06-06T00:00:43+00:00;/sonometros;NoiseLevelObserved;T248671-daily;62.0;63.3;65.6;62.7;57.6;2021-06-05
236;2021-06-07T00:00:47+00:00;/sonometros;NoiseLevelObserved;T248671-daily;59.0;59.7;63.9;60.5;56.9;2021-06-06
238;2021-06-09T00:00:52+00:00;/sonometros;NoiseLevelObserved;T248671-daily;62.1;64.0;64.1;60.2;54.0;2021-06-08
240;2021-06-11T00:00:57+00:00;/sonometros;NoiseLevelObserved;T248671-daily;61.8;63.3;64.8;62.7;55.9;2021-06-10
242;2021-06-13T00:00:08+00:00;/sonometros;NoiseLevelObserved;T248671-daily;60.4;60.9;65.3;62.8;58.2;2021-06-12
243;2021-06-14T00:00:24+00:00;/sonometros;NoiseLevelObserved;T248671-daily;59.4;60.2;64.5;59.2;57.7;2021-06-13
244;2021-06-15T00:00:26+00:00;/sonometros;NoiseLevelObserved;T248671-daily;61.1;62.8;63.6;59.5;54.5;2021-06-14
247;2021-06-18T00:00:20+00:00;/sonometros;NoiseLevelObserved;T248671-daily;62.0;63.4;65.3;61.2;57.2;2021-06-17
249;2021-06-20T00:00:23+00:00;/sonometros;NoiseLevelObserved;T248671-daily;61.6;62.4;66.2;63.2;59.0;2021-06-19
